dataset,detector,auc,balanced_accuracy,eer
tgbl-wiki,linear,0.55616907,0.53155,0.4688
tgbl-wiki,forest,0.575789135,0.53975,0.46025
tgbl-wiki,mlp,0.575478345,0.5398499999999999,0.46014999999999995
mooc,linear,0.500692375,0.50035,0.49965000000000004
mooc,forest,0.5006054550000001,0.5003,0.4997
mooc,mlp,0.5006993,0.50035,0.4996499999999999
lastfm,linear,0.5001046199999999,0.50005,0.49995
lastfm,forest,0.50010087,0.50005,0.49995
lastfm,mlp,0.500002995,0.5,0.5
geolife_cells,linear,0.50019948,0.5001,0.4999
geolife_cells,forest,0.5001003300000001,0.50005,0.49995
geolife_cells,mlp,0.500169315,0.5001,0.4999
t_drive_cells,linear,0.532556255,0.5185,0.48164999999999997
t_drive_cells,forest,0.536801105,0.51905,0.481
t_drive_cells,mlp,0.5360817550000001,0.5188999999999999,0.48105
